iso_codes,n_feat,cwals_old,cwals_new,id,genus,name
ctd,8,0.25,0.25,cti,Kuki-Chin,Chin (Tiddim)
ctg,1,0.75,0.7142857142857143,bec,Indic,Bengali (Chittagong)
cti,1,1,1,NA,NA,NA
ctm,9,0.6388888888888888,0.6,ctm,NA,Chitimacha
ctp,6,0.16666666666666669,0.16666666666666669,cso,Zapotecan,Chatino (Sierra Occidental)
ctu,1,1,1,NA,NA,NA
cua,1,1,1,cua,Bahnaric,Cua
cub,7,0.8095238095238095,0.7857142857142857,cub,Tucanoan,Cubeo
cui,2,1,1,cui,Guahiban,Cuiba
cup,8,0.625,0.625,cup,California Uto-Aztecan,Cupeño
cyb,19,0.7204260651629073,0.6842105263157895,cyv,NA,Cayuvava
cym,7.5,0.17113095238095238,0.16071428571428573,wec,Celtic,Welsh (Colloquial)
dag,9,0.4444444444444444,0.4444444444444444,dgb,Northern-Central Gur,Dagbani
dai,3,0,0,day,Day,Day
dal,2,1,1,dah,Dahalo,Dahalo
dan,14,0.3928571428571429,0.38095238095238093,dsh,Germanic,Danish
dar,5,0.8,0.8,drg,Lak-Dargwa,Dargwa
dau,2,0.5,0.5,sil,Daju,Sila
dav,2,0.5,0.5,dbd,Bantoid,Dabida
dbl,11,0.7166666666666667,0.6906926406926407,dyi,Northern Pama-Nyungan,Dyirbal
ddj,8,0.65,0.625,djr,Western Pama-Nyungan,Djaru
ddo,8,0.725,0.71875,tsz,Avar-Andic-Tsezic,Tsez
dds,8,0.75,0.75,dds,Dogon,Donno So
deg,3,0.33333333333333337,0.33333333333333337,deg,Edoid,Degema
der,4,1,1,deu,Bodo-Garo,Deuri
des,9,0.7222222222222222,0.7037037037037037,des,Tucanoan,Desano
deu,27,0.3970017636684304,0.3492063492063492,gbl,Germanic,German (Berlin)
dga,6,0.2222222222222222,0.16666666666666666,dga,Northern-Central Gur,Dagaare
dgl,22,0.671969696969697,0.6385281385281385,nbd,Nubian,Nubian (Dongolese)
dgz,22,0.6286796536796537,0.5833333333333334,dag,Dagan,Daga
dhi,3,1,1,dhm,Dhimalic,Dhimal
dhr,8,0.5,0.5,dhr,Western Pama-Nyungan,Dhargari
dhv,21,0.22817460317460317,0.15873015873015875,dre,Oceanic,Drehu
did,11,0.5,0.4848484848484848,did,Surmic,Didinga
dif,9,0.6555555555555556,0.6203703703703703,diy,Central Pama-Nyungan,Diyari
dih,14.5,0.6202380952380953,0.6109523809523809,die,Yuman,Diegueño (Mesa Grande)
dim,7,0.8571428571428571,0.8571428571428571,dim,South Omotic,Dime
dip,7,0.42857142857142855,0.42857142857142855,din,Nilotic,Dinka
diq,3,1,1,zaz,Iranian,Zazaki
dis,6,0.8333333333333334,0.8333333333333334,dms,Bodo-Garo,Dimasa
div,3,0.9444444444444444,0.9333333333333333,dhi,Indic,Dhivehi
djd,3,0.8333333333333334,0.8,jam,Jaminjungan,Jaminjung
dje,3,0.33333333333333337,0.33333333333333337,zar,Songhay,Zarma
dji,5,0.8,0.8,djn,Western Pama-Nyungan,Djinang
djj,8,0.625,0.625,ndj,Ndjébbana,Ndjébbana
djk,22,0.11325757575757575,0.04545454545454546,ndy,Creoles and Pidgins,Ndyuka
djm,9,0.5555555555555556,0.5555555555555556,jms,Dogon,Jamsay
djr,3,1,1,djm,Western Pama-Nyungan,Djambarrpuyngu
dju,8,0.625,0.625,sar,Sepik Hill,Sare
dmk,5,0.8,0.8,dmk,Indic,Domaaki
dni,23,0.6386128364389234,0.5962732919254659,dni,Dani,Dani (Lower Grand Valley)
dnj,4,0.25,0.25,dan,Eastern Mande,Dan
dny,1,1,1,den,Arauan,Dení
doo,5,0.8,0.8,dgo,Ubangi,Dongo
dow,10,0.6833333333333333,0.68,doy,Samba-Duru,Doyayo
drd,5,0.6,0.6,drm,Bodic,Darma
drl,9,0.7777777777777778,0.7777777777777778,pkn,Central Pama-Nyungan,Paakantyi
dru,12,0.7916666666666666,0.7777777777777778,ruk,Rukai,Rukai (Tanan)
dsb,3,0.6666666666666666,0.6666666666666666,srl,Slavic,Sorbian (Lower)
dsh,2,1,1,dha,Lowland East Cushitic,Dhaasanac
dta,10,0.7,0.67,dgr,Mongolic,Dagur
dtd,1,1,1,nit,Southern Wakashan,Nitinaht
dua,1,0,0,dua,Bantoid,Duala
duc,6,0.5,0.5,dun,Duna,Duna
dud,7,0.14285714285714288,0.14285714285714288,duk,Kainji,Duka
duf,2,0.5,0.5,pta,Oceanic,Paita
duj,12,0.375,0.33333333333333337,dda,Western Pama-Nyungan,Dhuwal (Dätiwuy)
duo,2,0,0,agd,Greater Central Philippine,Agta (Dupaningan)
dus,9,0.6666666666666666,0.6666666666666666,dmi,Mahakiranti,Dumi
duu,3,0.33333333333333337,0.33333333333333337,dul,Nungish,Dulong
dyo,23,0.5887681159420289,0.5434782608695652,dio,Bak,Diola-Fogny
dyy,6,0.6944444444444444,0.6555555555555556,dja,Northern Pama-Nyungan,Djabugay
dzg,11,0.5454545454545454,0.5454545454545454,NA,NA,NA
efi,3,0.6666666666666666,0.6666666666666666,efi,Cross River,Efik
ega,1,0,0,ega,Ega,Ega
eip,7,0.7142857142857143,0.7142857142857143,eip,Mek,Eipo
ekg,11,0.7132034632034632,0.6515151515151515,eka,Wissel Lakes-Kemandoga,Ekari
eko,1,1,1,eko,Bantoid,Ekoti
eky,16,0.14322916666666669,0.0625,kyl,Karen,Kayah Li (Eastern)
ell,28,0.45191326530612247,0.4209183673469388,gcy,Greek,Greek (Cypriot)
eme,7,1,1,eme,Tupi-Guaraní,Émérillon
emi,7,0.14285714285714288,0.14285714285714288,mus,Oceanic,Mussau
